,Currently Insured,Number of Vehicles,Number of Drivers,Marital Status,rank,click_rate_Josh,purchase_rate_Josh,click_rate_Angkun,purchase_rate_Angkun,click_rate_actual,purchase_rate_actual,click_rate_yushan_logreg,click_rate_yushan_knn,purchase_rate_yushan_logreg,purchase_rate_yushan_knn,click_rate_fangdi_log,click_rate_fangdi_rf,click_rate_fangdi_svm,click_rate_fangdi_knn,click_rate_fangdi_voting,purchase_rate_fangdi_log,purchase_rate_fangdi_rf,purchase_rate_fangdi_svm,purchase_rate_fangdi_knn,purchase_rate_fangdi_voting,ave_Click_pred,ave_Purchase_pred
0,Y,1,1,S,1,0.652140476,0.255747463,0.28641692,0.16314152,0.583333333,0.233333333,0.5716805079999999,0.5,0.227569021,0.3,0.5626820982905566,0.5127059454294399,0.6496165469091612,0.2,0.48869075451853233,0.3252262013914124,0.27668840458062477,0.3685606039529318,0.12,0.2813135317426156,0.5748022569299992,0.2713077724930093
1,Y,1,1,S,2,0.273367223,0.16671866,0.18098849,0.10980463,0.27027027,0.175675676,0.351755379,0.2,0.128257097,0.1,0.34344823800856245,0.2906416421697532,0.13159932360577462,0.0,0.19070319368579966,0.2011808707837313,0.1540007633621604,0.06729385924949122,0.0,0.0893258660824519,0.31480312054457893,0.16253934778647294
2,Y,1,1,S,3,0.164864911,0.09051333,0.14178465,0.071407944,0.17204301100000002,0.086021505,0.18073508300000002,0.4,0.068444895,0.2,0.17537753522916746,0.16562030460426744,0.11616806858257539,0.2,0.16656343598922982,0.10408657077737254,0.09689893269953434,0.06127833103548737,0.08000000000000002,0.08867024920070393,0.17164945845835874,0.08998593211922673
3,Y,1,1,S,4,0.028771772999999997,0.074611628,0.09585046,0.046067715,0.111111111,0.047619048,0.082306136,0.1,0.035393399,0.0,0.07958461986389367,0.13635762591332676,0.1316438796095431,0.0,0.08827347234301394,0.04784518427502579,0.08758564395652607,0.0765024923141455,0.0,0.04920692164949646,0.08175503869430512,0.06135896380788797
4,Y,1,1,S,5,0.061572508,0.027364278,0.06280001,0.029434811,-7.0,-7.0,0.035180088,0.0,0.017993918,0.0,0.03395993847898795,0.12360766890012358,0.10197578139833259,0.0,0.06604073175369263,0.020675593756049892,0.07843024380287102,0.06126820740818412,0.0,0.03709025977007735,0.06358005084477789,0.036116008389730225
5,Y,1,1,M,1,0.401756641,0.166755611,0.29451737,0.16406897,-7.0,-7.0,0.520533551,0.6,0.20275932100000002,0.3,0.5262014230553367,0.47667523008230844,0.4688087404462347,0.4,0.47151064508342366,0.29482273060572334,0.2791630203643851,0.2684024686365259,0.08000000000000002,0.22886519177427675,0.4812917112844113,0.23587517074252712
6,Y,1,1,M,2,0.331153923,0.11549323,0.18098849,0.10980463,0.34,0.1,0.306217558,0.3,0.11269481199999999,0.2,0.31107084516568795,0.2707705985559143,0.1316245465044076,0.2,0.23196539467509142,0.1767324993958684,0.16156131874584198,0.07214740418161641,0.2,0.1594262390306614,0.30480323118040054,0.1416204650354276
7,Y,1,1,M,3,0.12669232,0.042144573,0.14178465,0.071407944,0.164556962,0.06329113900000001,0.15214112800000001,0.2,0.059643479000000006,0.1,0.15510142910375863,0.14385944433871,0.13105672624414724,0.2,0.1580855737561893,0.0893330693177298,0.09012341003478742,0.07449088345600592,0.12,0.09448210674042533,0.14444858036061714,0.0703111328381293
8,Y,1,1,M,4,0.03205578,0.0,0.07788288,0.046455305,0.047619048,0.0,0.06799217,0.1,0.030702041,0.0,0.06945076876214978,0.10781334488572993,0.13166906366456013,0.0,0.07651181911499129,0.04054194141261562,0.07312109029529658,0.07887864067541703,0.0,0.05108371212001077,0.06932801591196992,0.03609126817697805
9,Y,1,1,M,5,0.0,0.0,0.05090001,0.02857978,0.049180327999999995,0.016393443,0.028804625,0.0,0.015571613,0.0,0.02944978915367394,0.09875648852565179,0.10468841322199339,0.0,0.057451675957737015,0.017419389706952237,0.06394328867668923,0.0627190102010647,0.0,0.03855721097945435,0.03925272566983143,0.024233572845910368
10,Y,1,2,S,1,0.529275481,0.31600335399999996,0.2906194,0.08578547,0.596153846,0.288461538,0.556281009,0.5,0.190119381,0.3,0.551226967672613,0.5184870564294033,0.6495689555797305,0.4,0.5349907652136979,0.3581064695646465,0.3167610792038867,0.3891504570652651,0.24,0.32821702999510355,0.5388176285255041,0.2952475709421333
11,Y,1,2,S,2,0.335244812,0.058782864000000004,0.16799006,0.05405123,0.307692308,0.076923077,0.337610495,0.3,0.104930484,0.2,0.33305717220369063,0.2860692744329867,0.1316473174827815,0.4,0.2875772431412466,0.21878250331866228,0.19146606073915914,0.07886424528089413,0.24,0.18101399937465637,0.32299543840916933,0.14349047801445536
12,Y,1,2,S,3,0.19237008,0.021063986,0.11363630000000001,0.034665342,0.146341463,0.012195122,0.171646348,0.1,0.055306402000000005,0.0,0.1687643863479652,0.16451462414550722,0.11324911179064583,0.0,0.11361378270383551,0.11206931724825926,0.11687317468958844,0.06798478588858432,0.0,0.07856010415174562,0.1743238596233681,0.07632821998446193
13,Y,1,2,S,4,0.144657419,0.0,0.06271597,0.022216864,0.10526315800000001,0.01754386,0.07769773,0.0,0.028405918,0.0,0.07624963424510378,0.13938346024813486,0.13158250593010873,0.0,0.08857621326297006,0.05117488430001212,0.10136806480076967,0.07882505131808565,0.0,0.06632211420965467,0.10949706087330967,0.045237216775195446
14,Y,1,2,S,5,0.08447650699999999,0.040602028,0.05003256,0.013984914,-7.0,-7.0,0.033115103,0.1,0.014390255,0.1,0.03246940478488546,0.12467775674265061,0.10742255546568162,0.2,0.11819278882839505,0.022019564624763985,0.08835244399327652,0.06326621041588086,0.16000000000000003,0.08189467026906784,0.06868469288188402,0.041341072904510126
15,Y,1,2,M,1,0.546249391,0.267146596,0.27276805,0.08334233,0.581818182,0.218181818,0.504887757,0.8,0.168501824,0.3,0.5146150223192032,0.4914174798374749,0.4482612766711328,0.6,0.5112808213445432,0.3257736561883521,0.3073448049752359,0.268542030656231,0.36,0.3146193404548349,0.5142924125391696,0.267191720290897
16,Y,1,2,M,2,0.315764796,0.043697515,0.17821354,0.05439883,0.289473684,0.052631579000000005,0.29307596399999997,0.1,0.09190019099999999,0.0,0.301209952859335,0.28267264039055134,0.13165451653129326,0.4,0.2817889243826667,0.19290539658371336,0.19646472971851,0.07947917987033028,0.4,0.20656073045525356,0.29818083831247155,0.13124195807555583
17,Y,1,2,M,3,0.187072038,0.041266597,0.11363630000000001,0.034665342,0.157407407,0.055555556,0.144237159,0.0,0.048107233,0.0,0.14911459714095954,0.1530226366270086,0.13134004307400612,0.4,0.20817750956602343,0.09659055116624639,0.10612808185357397,0.07868030803009403,0.4,0.15293875709116106,0.15836160769199203,0.0730231157549551
18,Y,1,2,M,4,0.156648816,0.034634829,0.06271597,0.022216864,0.089285714,0.035714286,0.064129212,0.1,0.024617107000000003,0.0,0.06650975513271783,0.12288031722680799,0.13166084807832618,0.2,0.12927308527747872,0.04356503466964327,0.08485349033073687,0.07706069582505236,0.12,0.0821231481861424,0.10254202508988146,0.04691761525009504
19,Y,1,2,M,5,0.080489838,0.03828351,0.04075549,0.014078683,-7.0,-7.0,0.027103352,0.0,0.012446918999999999,0.0,0.028151441550593286,0.11154082632748719,0.10595648531600141,0.0,0.06090645422017195,0.018641951051981746,0.0687518670600514,0.06009258172340857,0.0,0.040835944439091706,0.061821364469520114,0.034531061778008285
20,Y,2,1,S,1,0.280309949,0.10372281400000001,0.32222357,0.12387859,-7.0,-7.0,0.562812813,0.5,0.187572961,0.4,0.5518445947996837,0.4575855156335472,0.5901491984228929,0.6,0.553109847703807,0.35023486480765786,0.2877136079321633,0.36408105602333507,0.12,0.2868707750161973,0.4631382181083077,0.2323110619349553
21,Y,2,1,S,2,0.17685104199999999,0.10929401300000001,0.20457347,0.08155361,-7.0,-7.0,0.343562738,0.2,0.103379421,0.0,0.3336120702297273,0.22290370473219018,0.13195345473394782,0.4,0.27082056127966536,0.21419213881893565,0.13885433937288522,0.0773029061161165,0.24,0.166776098813996,0.26923238874047933,0.1414299780479552
22,Y,2,1,S,3,0.035552816,0.0,0.12702017,0.05375566,0.066666667,0.022222222000000003,0.175447579,0.1,0.054444255,0.1,0.16911496785812216,0.11517710027550633,0.12106945729771015,0.0,0.10300883078047883,0.10981485136941321,0.07774324826722849,0.07041789938962673,0.0,0.06427449307790362,0.12382311578340713,0.06050058865916043
